Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2020-01-01,633.151123046875,635.857836165516,629.456283947449,631.5614994346679,2112415
2020-01-02,631.3035888671875,636.545097531161,628.0383841693595,634.9125214049994,5658200
2020-01-03,641.013427734375,642.7319623931803,630.6163140268093,630.6163140268093,7882938
2020-01-06,634.86962890625,647.7156856371781,632.8503717126638,641.0993168830549,6519403
2020-01-07,625.460693359375,638.091880808106,623.0547029448412,634.1392721765393,7899363
2020-01-08,617.1257934570312,626.4058699298521,608.6190260970619,622.9258478082336,8639443
2020-01-09,625.1599731445312,628.5540897917724,613.7746803355894,620.1332799391682,13521186
2020-01-10,634.2681884765625,638.3497082159341,627.6947725496843,636.244492808629,9341405
2020-01-13,664.6862182617188,668.0803346309402,648.7468201239355,653.0431566810477,36952038
2020-01-14,666.49072265625,667.607759691393,659.2299032595474,661.592888406991,11414418
2020-01-15,659.5305786132812,664.9439518924611,654.8905668506321,664.9439518924611,6047430
2020-01-16,659.0580444335938,663.7840147652558,653.2579899356449,662.237344054906,5740586
2020-01-17,659.788330078125,664.1276716019415,654.9764545063318,662.2372731824834,3762957
2020-01-20,660.3038940429688,665.4165444008263,655.5779244163876,663.0105542708876,3887680
2020-01-21,655.1913452148438,662.0654839187372,653.687627373367,660.3039963649677,4448374
2020-01-22,661.8075561523438,668.5098292988873,658.1986237055884,660.3038386699876,9733935
2020-01-23,673.96630859375,674.95448700041,667.3929449935188,667.7366204578454,12528017
2020-01-24,672.5913696289062,675.8136214795718,664.7290541350803,666.576499507664,7540490
2020-01-27,668.5958862304688,674.3529878110744,665.4166390766485,669.4122006803074,3741610
2020-01-28,668.5099487304688,671.7751539292527,663.354345012753,671.0877505893266,5121009
2020-01-29,678.5634155273438,681.2271232506934,673.8803981274411,675.8996553584789,6832757
2020-01-30,670.830078125,678.5634848224805,668.5100456266517,678.5634848224805,3859680
